ISIN,SBS
US4642876555,5271112E7655
US4642878049,5271112E7804
US4642881829,5271112E8182
US4642882819,5271112E8281
US4642868487,5271112E8487
US78468R6229,5260012ER622
US4642885135,5271112E8513
US4642886612,5271112E8661
US4642886794,5271112E8679
US4642871762,5271112E7176
US4642888519,5271112E8851
US46429B6719,5271112EB671
US97717W8516,5272872EW851
US46090E1038,5275122EE103
US46641Q2176,5275552EQ217
US92189H3003,5270652EF494
US92189H6071,5270652EF718
US37954Y8306,5275282EY830
US37954Y6730,5275282EY673
US2330518794,5273792E1879
US81369Y3080,5273932EY308
US33734X1928,5275522EX192
IE00B66F4759,5270734EF475
IE00B5M4WH52,5270732E4WH5
US46138E6288,5275122EE628
US46137V3574,5275122EV357
IE00B53QG562,5270734EG562
US4642872422,5271112E7242
US33737A1088,5274042EA108
US33733E3027,5274042EE302
US33734X8469,5274042EX846
US92189F6768,5270652EF676
US92189H8218,5270652EH821
US33738R7044,5274042ER704
US4642882579,5271112E8257
US37954Y8710,5275282EY871
US37950E2596,5275282EE259
US97717Y4778,5272872EY477
US37954Y2366,5275282EY236
US37954Y8488,5275282EY848
US81369Y8527,5273932EY852
US9220428745,5270172E2874
US78468R5569,5273932ER556
US78467V6083,5260012EV608
US46090E103X,5260002EE103
IE00B4PY7Y77,5270732EY7Y7
IE0032895942,5270732E9594
US92189F7006,5275512EF700
IE00B2NPKV68,5270732EPKV6
IE00B4JNQZ49,5270732ENQZ4
IE00BKM4GZ66,5270732E4GZ6
IE00B4L5Y983,5270732E5Y98
IE00B4L5YX21,5270732E5YX2
IE00B5BMR087,5270732EMR08
LU0846194776,5273976E9477
IE00BYM31M36,5270732E31M3
US97717X7012,5272872EX701
IE00B95PGT31,5273952EPGT3
IE00B3XXRP09,5273952EXRP0
IE00B945VV12,5273956E5VV1
LU0274209740,5273972E0974
LU0927735406,5273972E3540
US46434V4648,5271112EV464
US46434V6395,5271112EV639
US4642887529,5271112E8752
US4642878619,5271112E7861
US4642877702,5271112E7770
US4642874576,5271112E7457
US4642873255,5271112E7325
US4642865335,5271112E6533
US4642865178,5271112E6517
US4642851053,5271112E5105
US92189F8251,5270652EF825
US78463V1070,5260012EV107
US81369Y1001,5260012EY100
US81369Y4070,5260012E4070
US4642862514,5271112E6251
US4642874659,5271112E7465
US4642885887,5271112F8588
US78467X1090,5260012EX109
US78463X5095,5273932EX509
US46429B7477,5271112EB747
PEP79800800X,5470652E0800
US92189F4037,5270652EU506
US33741X1028,5274042EX102
US46138G7060,5275122EG706
US46641Q7613,5275552EQ761
US4642873412,5271112I3412
US92189H8051,5270652EH805
US92189F4375,5270652US921
US00214Q8078,5277592EQ807
US97717Y6914,5272872US977
US72201R8824,5277252EG848
US4642881175,5271112E8117
US78468R8530,5273932ER853
US33734X1274,5274042EX127
US09290C7801,5271112EC780
US09290C5094,5271112E5094
US4642865095,5271112CANAD
US4642871929,5271112TRANS
US97717Y5437,5272872Y5437
US37954Y3190,5275282EY319
US4642887784,5271112E8778
US4642888105,5271112E8810
US46429B6065,5271112EPOLO
US4642867802,5271112E6780
US92204A8760,5270172A8760
US92204A7028,5270172A7028
US97717X6691,5272872USDGQ
US97717X5784,5272872X5784
US78464A8624,5260012EA862
US77926X3200,5259252EX320
US53656G4982,5259252EG498
US46641Q1913,5275552EQ191
US92189F3534,5270652EF353
IE000L2SA8K5,5275322ESA8K
IE0001ZFMLN7,5270732EFMLN
US78464A8541,5273932EA854
US72201R6273,5277252EA854
US4642861037,5271112AUSTR
US4642882405,5271112E8240
US9219468850,5270172E6885
LU2473381015,5275154F8101
IE00BNRQM384,5275322EQM38
IE00B1FZSB30,5270736EZSB3
IE00B3YCGJ38,5275322ECGJ3
US97717W8367,5272872JPSCD
US97717W2816,5272872W2816
US97717X7194,5272872X7194
US4642878791,5271112SPSMC
US33737J1824,5274042FEMUS
US78464A8889,5260012A8889
US4642867075,5271112FRANC
US4642875565,5271112ISQQQ
US4642888444,5271112OEQ&S
US46434V8862,5271112V8862
US9229087690,5270172TOMKT
US92204A8018,5270172MATER
US4642866655,5271112E6665
US4642875987,5260022E7598
US9220427754,5270172AWXUS
US4642877629,5271112EUSHC
US33733E2037,5274042US337
IE00B53L3W79,5270734EL3W7
IE00BFM6TD65,5270732E6TD5
US46434G8481,5271112EG848
IE00BYPC1H27,5270734IE00B
US46434G7988,5271112G7988
US97717W4481,5272872ALEMI
US46137V3160,5275122V3160
LU1259265335,5274095F6533
IE00BYXWZK58,5270512FWZK5
LU1163202150,5275114F0215
LU1966825462,5275194F2546
LU1966825462,5275504F2546
LU1959967503,5275504F6750
LU0333811072,5270272F1107
LU0622306065,5270272F0606
LU1240965456,5274084F6545
LU1079841513,5274162E4151
LU1883863851,5273982F6385
FR0010589325,5274104F8932
LU0880945901,5274142F4590
LU2614584386,5274142F8438
LU0301639745,5270882F3974
IE00BGSXQQ02,5274122FXQQ0
IE0002460974,5274122F6097
IE00B29K0P99,5274122FK0P9
IE00B87KCF77,5274122FKCF7
LU0823426647,5270012F2664
LU0129464904,5270132F4904
LU0107852435,5270182F5243
LU0106259988,5270192F5998
LU0127786860,5270224F8686
US2332038270,5270242F3827
LU0132414144,5270252F1414
LU1003376065,5270252F7606
LU0492943013,5270292F4301
LU0113993397,5270324F9339
LU0276015889,5270432F1588
LU0998992639,5270432F9263
LU0102000758,5270465F0075
LU0852482198,5270474F8219
LU1305089796,5270492F8979
LU0926439729,5270492F3972
IE00BKZGKM40,5270512FGKM4
LU0727122698,5270772F2269
GB00B1XG8G39,5274566FG8G3
LU1164800770,5270802F0077
LU0128469243,5270802F6924
IE0003895277,5270942F9527
IE00B3RW8498,5273862FW849
LU0398248921,5273882F4892
IE00B0JY6L58,5270942FY6L5
GB0006063233,5275336F6323
GB00B0119487,5274186F1948
LU1353442731,5273874F4273
LU1342486377,5274082F8637
LU0440072402,5273882F7240
LU1951186714,5270082F8671
FR0013311446,5274494F1144
LU1136112601,5274244F1260
LU1997245763,5270472F4576
LU1200235437,5274472F3543
CL0002535525,5274822F3552
CL0002535517,5274822F3551
FR0013185550,5274492F8555
DE0006289309,5271284E8930
DE000A0Q4R85,5271282EQ4R8
IE00BD065N65,5274302F65N6
IE00BKLWXN81,5270172FWXN8
IE00BKLWXM74,5270172FWXM7
IE00B8JGVH80,5277445FGVH8
IE000NG9LZQ6,5277192F9LZQ
IE000NG9LZQX,5277012F9LZQ
IE00BHXGRM40,5277312FGRM4
IE00BF4NG566,5277312FNG56
GB00B4ZM1M76,5276846FM1M7
GB00BKPQVT86,5276846FQVT8
LU0195951966,5270772F5196
GB00BMCC1W62,5277324FC1W6
LU0888974473,5274292F7447
LU2343117433,5270604F1743
LU0646914142,5270604F1414
LU1034966249,5274262F6624
LU1713307699,5275152F0769
LU2536832368,5277512F3236
LU2416422678,5270492F2267
LU1751457539,5273992F5753
PEP729407101,3777582FPRIM
LU0106820292,5270194F2029
GB00B4ZM1M76,5277336FM1M7
CL0002754332,4A7482254332
LU1342486377,5274082F8637
IE00B3CTGR43,5274532FTGR4
GB0033028001,5274136F2800
LU0346389850,5273874F8985
IE0030395846,5270942F9584
IE0007357332,5270942F5733
IE00B59XD059,5270972FXD05
LU0648314374,5272022F1437
US5771308344,5272092F0834
GB0030810021,5270854F1002
LU0973522674,5270882F2267
LU0195953152,5270772F5315
LU0195951966,5270772F5196
LU1767066605,5270492F6660
LU0188167505,5270432F6750
LU0184624863,5270434F2486
LU0823386593,5270462F0367
LU0219455952,5270392F5595
LU0145647722,5270414F7722
LU0912262945,5270252F6294
LU0231483743,5270252F8374
LU0085136942,5270264F6942
LU0313358250,5270272F5825
LU0234573185,5270272F7318
US2332038197,5270242F3819
LU0529383175,5270224F8317
LU0099405374,5270185F0537
IE00B06YCB08,5270062FCB08
IE00B11YFN53,5270062FFN53
LU0067412154,5270082F1215
LU0255798018,5270802F9801
LU1220257130,5272092F5713
US5771307924,5272092F0792
LU0426533492,5270222F3349
CVL79033FI12,5211082FRFLU
LU0345777493,5270292F85G6
LU0132199406,5270382F9940
LU0823432371,5270464F4267
LU0325327566,5270802F2756
LU2301227331,5277132F2733
LU1866903385,5274372L3385
LU1950511193,5275502U1193
LU1134228409,52MSIM2MSUHY
LU0939496179,5274972DI16R
LU1279333329,5270802F3332
LU1217871059,5270275F7105
LU1617687584,5274542F8758
LU0815264279,52MSIM2CA24X
CL0002633205,5275262COMP2
LU2055182070,5270882LU205
IE00BQZJ1775,5276642FJ177
FR0013072733,5274492F7273
LU2134542260,5274292E2260
LU2501015387,5274294F1538
LU1378878604,5275232F8604
LU2061828062,5270082F8062
LU1529950328,5273882F0328
LU0858455784,5273882F5578
LU0248053877,5270882F3877
LU0318933560,5270882F3560
LU1130125799,5270252F5799
LU0936248318,5273882RGCTI
IE00BHWQNN83,52COMG4QNN83
IE00BD38JM62,5274122F8JM6
LU0571488617,5273882F8861
LU1863154644,5273662MES44
LU1302569964,5273662PASEL
LU0721876877,5272092MACSM
LU1887442066,5274082CONST
LU1959967503,52751946750L
LU1573968200,5270414DBRZE
LU1571394011,5270414F9401
LU1796233820,5270414DFC5I
LU1805531933,52751023193L
LU1599350359,5274172F5035
IE00BYPC7R45,52UTII2C7R45
LU1883334515,5273984AGSBI
LU1235249262,5274352CHINA
LU0101689882,5270802PTDIG
LU0816909955,527474209955
LU1564424452,5274862F2445
LU0181496059,5270192SCHEC
LU0990544842,5273882HIGHY
LU0048575426,527040275426
LU1769937829,5273974F3782
LU0211118053,5270432USSHY
LU1694772994,5270432F2994
LU0823411292,5270462USMCP
LU0845699684,5275152LU084
LU2600586817,5274742F8681
LU1432415641,5273974EUHY2
LU0968466812,5275112F6681
LU0225307478,5275112F0747
LU1932874412,5275112F7441
LU0946219929,5277022F1992
LU0363170191,52SANT2LATAM
IE0002420739,5274122GD0HY
LU0248056110,5270132F56110
LU0248056110,5270882F56110
LU1866781336,5274104AVEAC
LU0050381036,52WELL2USRES
LU1112790479,5270182JBEME
LU0772925789,52NORD2EMBBI
LU1163201939,5275112FCBIU
LU1121648981,5275562F4898
LU0206294794,52ALLB2EMGRO
LU0564079365,5274082F7936
LU0564079282,5274082F7928
IE00BQ1YBP44,52COMG5JAPGR
IE0030395952,5270945PBJSC
LU0260086037,5274564JEURG
GB00B5STJW84,5274566EURO
GB0006014921,5275336F1492
IE00B99K4563,5270952EMDHC
LU1397645281,4874174EMVCE
IE00B5769310,52GAML2USCOF
IE0030759645,5274122EMBFU
LU1865158890,5270854TSMEQ
LU1410485624,4874172EMBON
LU0675296932,5274104AVEUR
IE00B3CTFW21,52GAML4ECIEA
LU1102506067,5273872F0606
GB0033031153,5274136F3115
IE00BN6Q7C39,5275562FQ7C3
IE00BD4GV785,5270772FGV78
LU0231204701,5270772F0470
LU2058011201,5270414F1120
LU0646914571,5270602F1457
LU0345781172,5276702F8117
GB00BZ2YND85,5274566FYND8
LU0912263752,5274812EMDBT
LU1569037366,5273662CORP1
IE00B3VTL690,5273865FTL69
IE00B3SHFF36,5273862HFF36
LU1548499711,5270474GAIWT
LU0248044025,5270882EMIUS
LU0648315850,5274742F1585
LU0666200935,5276672F0093
LU1244895048,5274862F9504
LU0603408385,52MSIM2EMERG
LU0164881350,5276672F8135
LU0492943443,5270292LATAM
KYG6201R1157,5270582R1157
KYG6201R1157,5277432FR115
LU0267983889,5274082F8388
LI0229057109,5277462F5710
LI0364281548,5277462F8154
LU0794787092,5274812ASHFM
IE00BK70NJ20,5270732F0NJ2
LU1167331617,5275112F3161
IE00BMC6R191,5277402F6R19
LU1701697515,5274082F9751
IE00BG1DFD73,5270736FDFD7
LU1322871713,5270496F7171
IE00B3CTFW21,52GAML4FTFW2
LU2620728431,5274172F2843
LU1797525737,5274174FF284
LU1981108506,5277022F0850
LU1981108928,5277022F0892
LU2219663098,5276802F6309
KYG6963B1187,5277292FB118
KYG6963B1005,5277292FB100
FR0010642611,5274494F4261
LU0912264727,5274812F6472
LU0729060128,5273982AEEMF
LU2308715312,5270472AGIF2
LU2091609516,5274564LA16C
IE00BGGJJ945,5275332JJ945
LU1342486377,5274082F8637
LU0804456878,52CRSU2EMCHC
LU1892591238,52DTRG2EDMLC
FR0010642611,5274494CONVE
LU0943624824,5270882ALCIA
US4642861458,5271112FRONT
LU0998992639,5270432AX639
CL0000006727,5270582MDLOC
LU0582530498,5273884F3049
LU0616945282,4874174EMLCC
LU1775962480,5274134CESEA
LU0103813712,5270882F1371
LU1670715975,5274374JAPSC
LU0742536872,5273872FIDEM
LU0946223368,5274566EURG
IE0007292422,5273952JAPIX
LU0113993553,5270324JHESC
IE00B02JYG83,5273952EUZSI
IE00B5WN3467,52COMG4N3467
LU1390246210,52CRSU4EURSC
LU0635707705,52CRSU2GLOAN
IE00BW4NVR20,52WELI2NVR20
LU0512128439,5270132MECIU
IE0005300805,5274122USHYB
LU1670626446,5274374MGJAP
LU1086830822,52MDOM230822
US09251T5092,5271282GALLO
LU0161305759,5270194EURVA
LU1086912554,5270224CZCHE
IE00BQN1K901,5270734EUVAF
IE00BYYTL417,52TOKI5JAPEF
LU0886779783,5270252ABEEM
GB00B0119B50,5274186JPALP
IE0002459539,5274122STOCK
LU0129443577,5270884SGWEU
CL0000007469,5270582DEUDA
LU0963031652,5273882RBAST
LU0297941386,52BRAF2BEMRG
LU0411709560,52BRAF2BRADF
LU1034951563,52EDMG4SPAIN
LU0153585137,527049485137
US5771307684,5272092MIDNX
LU0616840772,5273974EURHY
LU0278930234,5270255A0234
LU0273179522,5270412CONVE
LU0990547431,52702222NNFMD
LU0106235459,5270194EUREQ
LU0611395327,5270292EMCOD
US2332034139,5270242USACOR
GB00B5TGB445,5274566GB445
LU0189893794,5270192SCHHY
US78468R6633,5273932BILUS
LU0212179997,5270464BPESC
IE00BYYJHW11,5274692JHW11
LU1268048490,5275104LU126
IE0049168572,5270942PB572
LU1434524259,5275064CSEEM
LU0565899027,5274352INVDY
LU0566481197,5270252AB197
CL0002535566,5274822MSCLA
LU0867954777,5270882JPGLB
LU2014311232,5274082LU201
IE00BFNWYS31,5274852WYS31
LU1637619393,5275194BERSC
IE00B23Z8S99,5275242LEGGM
IE00BHWQNP08,52COMG4QNP08
LU2026683131,5275064CAELE
LU2026682919,5274172CACEL
LU1683287707,5275102CSGDE
LU1387591560,5275234F1560
LU0345780950,5276702INGDR
LU0636630260,5275504GM260
LU1156968403,5270472ALLEM
IE000JBV3A43,5274852V3A43
LU1232062742,5272182GSEHB
IE00B138F130,5274504EUREQ
LU1562332939,5274245YJPSC
GB00B8JYLC77,5275246FLC77
LU0338482002,5270802PRUSI
LU0995121646,5270194SCEUR
LU1273585916,5270384GBOND
IE00B3D84101,52INVE2GLHIC
IE00BD9G0980,52INVE4CESEA
PRIVFAECLPEF,4871412CLPEF
BCPCAPITAL,5111011CCINM
5111042FINM2,5111042FINM2
CVL79410FI15,5111042INF1U
CVL795505D69,5111052INFS1
CVL79010FI43,5111072DES1B
CVL79010FO29,5111072DES2B
,5111102FIBR2
CVL79033FI87,5111102FIBR3
CVL795602F20,5111141KFIIP
5111142FFOR1,5111142FFOR1
PEP792009IS1,5111151FCIN1
PRIVFACRET,5111152FCRET
CVL225501V53,5111181FDVI1
,5111302INFAM
CVL79033FI20,5311082FIEAM
PRIVFAATRGL1,5370862TRGL1
PRIVFADPGD09,5370904PGD09
PRIVFAEALT10,5370964ALT10
PRIVFAELCP7O,5370992LCP7O
PRIVFAEASF8G,5358472ASF8G
PRIVFAEHIXCB,5371042HIXCB
PRIVFAECSABF,5371082CSABF
PRIVFAEPAVIL,5371242PAVIL
PRIVFAEHIPVI,5371254HIPVI
PRIVFAEAGPII,5371262AGPII
PRIVFAECOL6A,5371332COL6A
PRIVFAECOL7F,5373962COL7F
PRIVFAEPGS11,5371362PGS11
PRIVFAEA8AFE,5371484A8AFE
PRIVFAETCRE1,5371912TCRE1
,5372282ACTG4
PRIVFAEPGD12,5372462PGD12
PRIVFAELCP8F,5372842LCP8F
PRIVFAEHGPEF,5373572HGPEF
PRIVFAEOPF6F,5373592OPF6F
PRIVFAEPGS15,5373542PGS15
PRIVFAEASSIV,5373852ASSIV
PRIVFAEAESS3,5373892AESS3
PRIVFAEHFCP9,5374552HFCP9
PRIVFAECOL8F,5374632COL8F
PRIVFAEVEP7A,5374652VEP7A
PRIVFAEAIXFE,5374062AIXFE
PRIVFAEHIC4A,5374192HCI4A
PRIVFAEKKR12,5374112KKR12
PRIVFAECVC7A,5374204CVC7A
PRIVFAECPVII,5374342CPVII
PRIVFAELCPIX,5374482LCPIX
PRIVFAEP7SLP,5374414P7SLP
PRIVFAECRF8B,5374272CRF8B
PRIVFAEASFCC,5374872ASFCC
PRIVFAEBREVI,5374842BREVI
PRIVFAEP7SCS,5374404P7SCS
PRIVFAECEPVF,5374434CEPVF
PRIVFAEA10FE,5374782A10FE
PRIVFAEGIP4F,5374792GIP4F
,5111042INF2A
CVL79590GA30,4974252SCBDC
CVL79560FI39,4911141MIND1
PEP795509FD5,491105206SI1
,5370792ZYR48
PRIVFADSVIIU,5370562DSVII
PRIVFAEACOA3,5373382ACOA3
CVL790409G66,4911022COABR
CVL790409F59,5111022FINR2
PRIVFAEPBCR2,5371072PBCR2
LU0351934137,5370904PGS08
CVL79033FI46,5111102FIBRC
CVL79035FI10,5111092FMEZZ
PEP794809ID4,5111042FIMRE
CVL120000019,3743261FDINF
CVL140000015,3743332FINF2
PRIVFAAARCFU,5370552AARCF
CVL79209FI02,5111322LATAM
CVL79910F057,4975141HMCSY
CVL79910F065,4975142HMCHY
CVL140000016,4911182HMCHY
CVL140000017,4911181HMCSY
CVL140000018,5111022FINM1
CVL140000019,5211082FRFML
CVL140000020,4974252SLBDC
CVL140000021,4974252SVBDC
CVL140000022,4911021PYMR2
CVL140000023,4911021PYMR3
CVL140000024,5371412CLPEF
CVL140000025,5371272F4608
CVL140000026,5371272F5068
CVL140000027,5371272F9285
CVL140000028,5371274F5106
CVL140000029,5371274F9145
CVL140000030,5371292CIVFS
CVL140000031,5371212PUIXL
CVL140000032,5371222PUIXF
CVL140000033,5371234PEVII
,5111142KFIIP
,5111132INBRO
CVL79010FI19,5111071DESC1
CVL79010F127,5111071DESC2
,5111072DCVY1
PEP795509F26,511105207SI3
CVL79410FI31,5111041FIDAF
CVL79209FI36,5111032TRANC
CVL79209FI02,5111032LATAM
CVL22550FI23,4911181HMCHY
PEP795509FD5,511105206SI1
PEP795509F2X,491105207SI3
PEP790419FD2,5111021PYME1
CVL790409F26,4911021CORF1
,5370904PGD16
,4974252S2BDC
,4911102LINAE
,4911011FCDS1
,4911011FCDS2
,4911011CCDTI
,5375422SCPVO
,5374732SPOR7
PRIVFAEIEF5S,5375454IEF5S
PRIVFAEWPGGF,5374832WPGGF
PRIVFAEGS5SC,5375402GS5SC
,5375172CDRXI
PRIVFAEEQTI5,5375254EQTI5
PRIVFAEICP12,5375292IPC12
,5375072PDCO3
PRIVFAEAIP4B,5374914AIP4B
PRIVFAEBCDSS,5374802BCDSS
PRIVFAEOHCPV,5374932OHCPV
PRIVFAEIK9SC,5374964IK9SC
PRIVFAEABF7A,5374954ABF7A
,5375002NHIP3
PRIVFAECEVFV,5375182CEVFV
PRIVFAEDSFFX,5375132DSFFX
,5373704BPE6C
,5377174V5FSC
,5377114P8SCS
,5377052PLEP6
PRIVFAECCM7F,5374664CCM7F
,5374752PGD19
5374712PECPV,5374712PECPV
PRIVFAEHLGII,5374682HLGII
PRIVFAESPOS8,5374672SPOS8
,5374702OSF6F
,5374322SOIKP
,5374642EQTI4
,5374602CVCII
PEP790419FD2,4911021PYME1
,4911021COORF
,4911021CORF2
,5374524TSEV8
,5374232CSOF3
,5374224AEPF3
,5374312VCIIF
PRIVFAEPGD20,5371372PRE17
,5374382MRES2
,5374462SPIF3
PGSFVIFeederGP,LLC,5374582PGSF6
PRIVFAENBDF3,5374592NBDF3
,5371592CPSMF
,5373652HIP7C
PRIVFAEIPCXI,5374902IPCXI
,5370964ALT08
,5374052ASF7G
,5374442FREO3
,5373704BPEVD
,5372784P6FPC
,5372784P6SCS
,5373922TCRE2
,5373914ICGVI
,5377544ICG9F
PRIVFAEPGM7,5374212PGD16
PRIVFAECIP7OF,5374152CIP6F
PRIVFAEFPVIA,5375032FPVIA
PRIVFAETB14A,5375042TB14A
PRIVFAECRSFV,5375212CRSFV
,4975141HMCPS
,4975141HMPSX
,4975142HMCPD
,4975142HMPDX
PRIVFAEBSGLP,5375272BSGLP
,5375052PGD20
PRIVFAEEQT9S,5375224EQT9S
,5376622KVCXC
5376614AIP5B,5376614AIP5B
,5376882CEVVI
,5376894EQTI6
,5377362IPC13
,5377304IEF6S
,5377214TF6SC
,53CCCC1MRIF2
,53CCCC1MRIF3
,53CCCC1CCCCC
,51CCCC1CCCCC
,49CCCC1CCCCC
,4975141HM3SX
,4975142HM3DX
,5374702OSF3F
,53AAAA1AAAAA
,5375222EQT9S
